iter	MAE	RMSE
434	0.3746936137	0.5090532118
435	0.3745841795	0.5089652213
436	0.374495257	0.5088619008
437	0.374397403	0.5087173435
438	0.3742956661	0.5086007962
439	0.3741687506	0.508386003
440	0.3740078165	0.5081920364
441	0.3739164526	0.5080779005
442	0.3738494208	0.507924114
443	0.3736786696	0.5076841064
444	0.3735723279	0.5075647794
445	0.373446944	0.5073979527
446	0.3733837266	0.5073676698
447	0.373217548	0.5071919215
448	0.3730798382	0.5070053672
449	0.3729767539	0.5068987061
450	0.3727956251	0.5067087512
451	0.3726891816	0.5066013582
452	0.372579467	0.5065080872
453	0.3725101649	0.506405663
454	0.3724344116	0.5062748682
455	0.3723441334	0.5061404182
456	0.3722671985	0.506035236
457	0.3721461709	0.5059214968
458	0.3721293946	0.5058764967
459	0.3720237069	0.5057785555
460	0.3719546612	0.5056552465
461	0.3718648131	0.5055436288
462	0.3717337186	0.5054089919
463	0.3716060887	0.5052779429
464	0.3714427198	0.5050997006
465	0.371395181	0.5050344905
466	0.3712477334	0.5048968289
467	0.3711150559	0.5047478974
468	0.3711060715	0.5046832501
469	0.3709837701	0.5045247267
470	0.3708240361	0.5042280476
471	0.3707757853	0.5041625358
472	0.3707374792	0.5040645166
473	0.3706345735	0.5039554337
474	0.3706251546	0.5039455257
475	0.3705810428	0.5038522661
476	0.3704496528	0.5036669309
477	0.3703179837	0.5035523755
478	0.3702394185	0.5034842634
479	0.3701454541	0.5033314804
480	0.3700215847	0.503137349
481	0.3699431356	0.5030437255
482	0.3698509513	0.5029708411
483	0.3698156565	0.5029000874
484	0.3697356138	0.5027318372
485	0.3696553627	0.5026337918
486	0.3695835501	0.5024890789
487	0.3694822191	0.5022979425
488	0.3693748328	0.5022097928
489	0.3692984916	0.5021081001
490	0.369139478	0.5020057335
491	0.3690780961	0.501898557
492	0.3689116201	0.5017317565
493	0.3687378408	0.5015268132
494	0.3686419591	0.5014021859
495	0.3685242842	0.5012577557
496	0.3682830239	0.5010224003
497	0.3682130599	0.5009361177
498	0.3680701308	0.500695991
499	0.3679780174	0.5005797991
500	0.3678590852	0.5004828062
501	0.3677607062	0.5003562802
502	0.3676221457	0.5002098626
503	0.3675759007	0.5001626009
504	0.3675192344	0.5000409745
505	0.3674228219	0.5000010522
506	0.3672232958	0.4997660055
507	0.3671619073	0.4996990222
508	0.3670651342	0.4995998602
509	0.3670069842	0.4995126559
510	0.3669239124	0.4993991621
511	0.3668448179	0.4992830995
512	0.3667604989	0.4992022823
513	0.3666711855	0.4991203431
514	0.3665263591	0.4990363052
515	0.3664002979	0.4989306982
516	0.366325891	0.4988269942
517	0.3662265589	0.498685232
518	0.3661604323	0.4986137655
519	0.3661205994	0.4985168581
520	0.365988391	0.4983037914
521	0.3658565114	0.4981430353
522	0.3656479418	0.4979302199
523	0.3655167981	0.4977436162
524	0.3652888933	0.4974721208
525	0.3651711798	0.4972963656
526	0.3650943278	0.4972100647
527	0.3649642883	0.4970952604
528	0.3648717187	0.4969984928
529	0.3648024619	0.4968733214
530	0.3646584837	0.496675509
531	0.3645201172	0.4965514615
532	0.364375179	0.4963739933
533	0.3643588133	0.4963344217
534	0.3643046949	0.4962805307
535	0.3641744619	0.4960427385
536	0.3640269067	0.4958849396
537	0.3639321053	0.4957446468
538	0.3638593213	0.4956713087
539	0.3637296155	0.4955046688
540	0.3636717575	0.4953829793
541	0.3636177854	0.4953082915
542	0.3634358861	0.4951280769
543	0.3633775195	0.4950225879
544	0.3632807389	0.4948661521
545	0.3632408839	0.4947982061
546	0.3630329301	0.494563455
547	0.3630233905	0.4945530533
548	0.3629369748	0.4944284419
549	0.3628180338	0.4943465815
550	0.3627141615	0.4942249579
551	0.3626537288	0.4941461162
552	0.362564448	0.4940229263
553	0.3624927765	0.4938820897
554	0.3623658822	0.4937163424
555	0.3621233158	0.4934736374
556	0.3620479254	0.4932956023
557	0.3619685261	0.493136537
558	0.3618612163	0.4930252016
559	0.3618081989	0.492841625
560	0.3617218142	0.4927505079
561	0.3616236204	0.4926560468
562	0.3614765	0.4924934573
563	0.3613347424	0.4922895437
564	0.3612261082	0.4921028176
565	0.3611760119	0.492014756
566	0.3610386394	0.4917848129
567	0.3609414257	0.4916741027
568	0.3608437207	0.4916021134
569	0.3607819961	0.4915434747
570	0.3607015971	0.4914222259
571	0.360563755	0.4912508383
572	0.3604298186	0.4911063691
573	0.3603834592	0.4910150909
574	0.3603279388	0.4909242463
575	0.3602754863	0.4908730696
576	0.3601445979	0.4907433164
577	0.3600262629	0.4906437664
578	0.3598912958	0.4904431582
579	0.3598005917	0.4903683364
580	0.3597121397	0.4902580732
581	0.3597044185	0.490251702
582	0.3596449193	0.4901604997
583	0.3594960773	0.4899691597
584	0.3594297551	0.4898843265
585	0.3593508137	0.4897621004
