iter	Passed	Remaining
216	864	3119
217	867	3113
218	871	3109
219	875	3104
220	878	3098
221	883	3094
222	887	3091
223	890	3085
224	894	3082
225	898	3077
226	902	3071
227	905	3065
228	909	3060
229	912	3055
230	915	3048
231	918	3042
232	922	3037
233	926	3032
234	929	3026
235	933	3021
236	936	3015
237	939	3009
238	943	3003
239	946	2998
240	950	2992
241	953	2985
242	956	2979
243	960	2977
244	964	2972
245	967	2965
246	971	2961
247	975	2958
248	979	2953
249	982	2948
250	986	2943
251	989	2937
252	992	2931
253	996	2925
254	999	2920
255	1002	2913
256	1005	2907
257	1008	2901
258	1012	2896
259	1015	2890
260	1018	2884
261	1021	2878
262	1025	2873
263	1028	2867
264	1031	2861
265	1034	2855
266	1039	2852
267	1042	2846
268	1045	2840
269	1049	2836
270	1052	2831
271	1056	2827
272	1059	2822
273	1063	2818
274	1067	2813
275	1070	2808
276	1075	2807
277	1079	2803
278	1083	2799
279	1087	2797
280	1091	2793
281	1095	2790
282	1100	2787
283	1104	2783
284	1114	2795
285	1118	2792
286	1123	2790
287	1127	2787
288	1132	2786
289	1137	2785
290	1142	2783
291	1147	2781
292	1151	2777
293	1154	2773
294	1158	2769
295	1162	2765
296	1166	2760
297	1170	2757
298	1173	2752
299	1177	2747
300	1181	2743
301	1185	2739
302	1188	2734
303	1192	2730
304	1196	2726
305	1200	2722
306	1203	2716
307	1207	2713
308	1211	2708
309	1214	2704
310	1218	2700
311	1222	2695
312	1225	2690
313	1229	2685
314	1233	2681
315	1236	2677
316	1240	2672
317	1243	2667
318	1247	2663
319	1251	2659
320	1254	2654
321	1258	2650
322	1262	2646
323	1265	2641
324	1268	2635
325	1271	2629
326	1275	2624
327	1278	2619
328	1281	2613
329	1284	2607
330	1287	2602
331	1291	2597
332	1294	2592
333	1297	2587
334	1301	2583
335	1304	2577
336	1307	2571
337	1310	2566
338	1313	2561
339	1317	2557
340	1320	2552
341	1323	2546
342	1327	2541
343	1330	2537
344	1333	2532
345	1336	2526
346	1339	2521
347	1342	2515
348	1345	2510
349	1349	2505
350	1352	2501
351	1355	2496
352	1359	2491
353	1362	2486
354	1366	2482
355	1370	2478
356	1373	2473
357	1376	2468
358	1380	2465
359	1384	2460
360	1387	2455
361	1390	2450
362	1394	2446
363	1397	2441
364	1400	2435
365	1403	2431
366	1406	2426
367	1410	2421
368	1412	2416
369	1416	2411
370	1419	2407
371	1423	2402
372	1425	2397
373	1429	2392
374	1433	2388
375	1437	2384
376	1440	2380
377	1444	2376
378	1448	2372
379	1451	2368
380	1454	2363
381	1458	2359
382	1462	2355
383	1465	2351
384	1469	2346
385	1472	2342
386	1476	2338
387	1479	2334
388	1483	2329
389	1487	2325
390	1492	2324
391	1496	2320
392	1499	2316
393	1503	2312
394	1507	2308
395	1510	2304
396	1514	2300
397	1517	2295
398	1521	2291
399	1524	2286
400	1527	2282
401	1532	2279
402	1536	2275
403	1539	2270
404	1542	2266
405	1546	2262
406	1549	2258
407	1553	2254
408	1557	2250
409	1561	2247
410	1564	2242
411	1568	2238
412	1571	2234
413	1575	2230
414	1579	2226
415	1583	2223
416	1587	2218
417	1590	2214
418	1595	2212
419	1599	2208
420	1603	2204
421	1606	2200
422	1610	2196
423	1614	2192
424	1617	2188
425	1621	2184
426	1625	2180
427	1628	2176
428	1632	2173
429	1636	2169
430	1639	2164
431	1643	2160
432	1647	2157
433	1650	2152
434	1653	2147
435	1656	2142
436	1660	2138
437	1663	2134
438	1666	2129
439	1669	2125
440	1673	2121
441	1676	2116
442	1679	2111
443	1682	2106
444	1685	2102
445	1689	2098
446	1692	2093
447	1695	2089
448	1699	2085
449	1703	2081
450	1706	2076
451	1709	2072
452	1712	2067
453	1715	2062
454	1718	2057
455	1721	2053
456	1725	2049
457	1728	2045
458	1730	2040
459	1733	2035
460	1737	2031
461	1740	2026
462	1742	2021
463	1746	2017
464	1749	2012
465	1752	2008
466	1755	2003
467	1757	1998
468	1761	1994
469	1764	1989
470	1767	1984
471	1770	1980
472	1773	1975
473	1776	1971
474	1779	1966
475	1781	1961
476	1784	1956
477	1787	1952
478	1790	1947
479	1793	1942
480	1796	1938
481	1799	1933
482	1802	1928
483	1804	1924
484	1807	1919
485	1810	1914
486	1813	1910
487	1816	1905
488	1819	1901
489	1822	1896
490	1825	1892
491	1828	1887
492	1831	1883
493	1834	1879
494	1837	1874
495	1841	1870
496	1844	1867
497	1848	1863
498	1852	1859
499	1855	1855
500	1859	1851
501	1862	1847
502	1866	1843
503	1869	1840
504	1873	1835
505	1876	1831
506	1879	1828
507	1883	1824
508	1887	1820
509	1890	1816
510	1894	1813
511	1898	1809
512	1902	1806
513	1906	1802
514	1909	1798
515	1913	1795
516	1918	1791
517	1921	1788
518	1925	1784
519	1929	1780
520	1932	1777
521	1936	1773
522	1940	1769
523	1944	1766
524	1947	1762
525	1950	1758
526	1955	1754
527	1958	1750
528	1961	1746
529	1965	1743
530	1969	1739
531	1972	1735
532	1976	1731
533	1980	1728
534	1985	1726
535	1989	1722
536	1993	1718
537	1997	1715
538	2000	1711
539	2004	1707
540	2008	1703
541	2011	1700
542	2015	1695
543	2018	1692
544	2021	1688
545	2024	1683
546	2028	1679
547	2032	1676
548	2035	1672
549	2039	1668
550	2042	1664
551	2045	1660
552	2049	1656
553	2052	1652
554	2056	1648
555	2059	1644
556	2063	1640
557	2066	1636
558	2069	1633
559	2074	1629
560	2077	1625
561	2080	1621
562	2084	1617
563	2087	1613
564	2091	1609
565	2094	1606
566	2098	1602
567	2101	1598
568	2105	1594
569	2108	1590
570	2111	1586
571	2114	1582
572	2118	1578
573	2121	1574
574	2124	1570
575	2127	1566
576	2131	1562
577	2134	1558
578	2137	1554
579	2140	1550
580	2144	1546
581	2147	1542
582	2151	1538
583	2154	1535
584	2158	1531
585	2161	1527
586	2165	1523
587	2168	1519
588	2172	1515
589	2175	1511
590	2179	1508
591	2182	1504
592	2186	1500
593	2190	1496
594	2193	1493
595	2197	1489
596	2200	1485
597	2204	1481
598	2208	1478
599	2212	1474
600	2223	1476
601	2227	1472
602	2230	1468
603	2235	1465
604	2239	1462
605	2243	1458
606	2247	1455
607	2251	1451
608	2254	1447
609	2258	1443
610	2263	1441
611	2267	1437
612	2272	1434
613	2276	1431
614	2280	1427
615	2284	1424
616	2288	1420
617	2291	1416
618	2295	1412
619	2303	1411
620	2307	1408
621	2313	1406
622	2319	1403
623	2326	1402
624	2336	1401
625	2340	1398
626	2343	1394
627	2347	1390
628	2351	1387
629	2355	1383
630	2363	1382
631	2366	1378
632	2369	1373
633	2372	1369
634	2376	1365
635	2380	1362
636	2383	1358
637	2386	1354
638	2390	1350
639	2393	1346
640	2397	1342
641	2400	1338
642	2405	1335
643	2408	1331
644	2412	1327
645	2419	1325
646	2422	1321
647	2426	1318
648	2430	1314
649	2434	1310
650	2438	1307
651	2442	1303
652	2446	1299
653	2449	1296
654	2454	1292
655	2457	1288
656	2461	1284
657	2465	1281
658	2468	1277
659	2471	1273
660	2476	1270
661	2480	1266
662	2484	1262
663	2487	1258
664	2491	1255
665	2495	1251
666	2498	1247
667	2502	1243
668	2506	1240
669	2510	1236
670	2513	1232
671	2517	1228
672	2520	1224
673	2524	1220
674	2527	1217
675	2531	1213
676	2534	1209
677	2537	1205
678	2541	1201
679	2544	1197
680	2548	1193
681	2551	1189
682	2555	1185
683	2558	1182
684	2561	1178
685	2565	1174
686	2568	1170
687	2572	1166
688	2575	1162
689	2578	1158
690	2582	1154
691	2584	1150
692	2587	1146
693	2590	1142
694	2594	1138
695	2597	1134
696	2600	1130
697	2604	1126
698	2607	1123
699	2611	1119
700	2614	1115
701	2618	1111
702	2622	1107
703	2625	1103
704	2628	1099
705	2632	1096
706	2635	1092
707	2638	1088
708	2641	1084
709	2645	1080
710	2649	1076
711	2653	1073
712	2656	1069
713	2659	1065
714	2663	1061
715	2666	1057
716	2670	1053
717	2673	1049
718	2676	1046
719	2679	1042
720	2683	1038
721	2687	1034
722	2690	1030
723	2693	1026
724	2697	1023
725	2701	1019
726	2704	1015
727	2707	1011
728	2711	1007
729	2713	1003
730	2717	999
731	2720	995
732	2723	992
733	2726	988
734	2729	983
735	2732	980
736	2735	976
737	2739	972
738	2742	968
739	2745	964
740	2748	960
741	2752	956
742	2754	952
743	2757	948
744	2760	944
745	2763	940
746	2766	936
747	2769	932
748	2772	929
749	2775	925
750	2778	921
751	2780	917
752	2783	913
753	2786	909
754	2789	905
755	2792	901
756	2794	897
757	2798	893
758	2801	889
759	2803	885
760	2806	881
761	2809	877
762	2812	873
763	2815	869
764	2818	865
765	2821	861
766	2824	858
767	2827	854
768	2830	850
769	2833	846
770	2836	842
771	2839	838
772	2843	834
773	2846	831
774	2850	827
775	2853	823
776	2856	819
777	2859	816
778	2863	812
779	2866	808
780	2869	804
781	2872	800
782	2876	797
783	2879	793
784	2882	789
785	2885	785
786	2888	781
787	2891	778
788	2894	774
789	2897	770
790	2900	766
791	2903	762
792	2906	758
793	2909	754
794	2913	751
795	2917	747
796	2920	743
797	2923	740
798	2927	736
799	2929	732
800	2932	728
801	2935	724
802	2939	721
803	2942	717
804	2946	713
805	2949	709
806	2953	706
807	2956	702
808	2959	698
809	2962	694
810	2965	691
811	2968	687
812	2971	683
813	2974	679
814	2978	676
815	2981	672
816	2983	668
817	2986	664
818	2989	660
819	2992	656
820	2995	653
821	2998	649
822	3001	645
823	3004	641
824	3007	637
825	3010	634
826	3012	630
827	3016	626
828	3019	622
829	3022	619
830	3025	615
831	3028	611
832	3031	607
833	3034	604
834	3037	600
835	3040	596
836	3043	592
837	3046	588
838	3049	585
839	3051	581
840	3054	577
841	3058	573
842	3061	570
843	3064	566
844	3067	562
845	3070	558
846	3073	555
847	3076	551
848	3078	547
849	3083	544
850	3086	540
851	3089	536
852	3092	532
853	3096	529
854	3098	525
855	3101	521
856	3104	518
857	3108	514
858	3110	510
859	3114	506
860	3116	503
861	3120	499
862	3122	495
863	3125	491
864	3128	488
865	3131	484
866	3134	480
867	3137	477
868	3139	473
869	3142	469
870	3146	465
871	3149	462
872	3152	458
873	3154	454
874	3158	451
875	3160	447
876	3163	443
877	3166	440
878	3169	436
879	3172	432
880	3175	428
881	3178	425
882	3180	421
883	3184	417
884	3187	414
885	3190	410
886	3193	406
887	3196	403
888	3199	399
889	3202	395
890	3205	392
891	3209	388
892	3216	385
893	3219	381
894	3223	378
895	3226	374
896	3229	370
897	3233	367
898	3236	363
899	3239	359
900	3242	356
901	3245	352
902	3248	348
903	3251	345
904	3255	341
905	3258	338
906	3261	334
907	3265	330
908	3268	327
909	3271	323
910	3274	319
911	3277	316
912	3280	312
913	3283	308
914	3286	305
915	3290	301
916	3292	298
917	3296	294
918	3299	290
919	3302	287
920	3305	283
921	3308	279
922	3310	276
923	3314	272
924	3316	268
925	3319	265
926	3322	261
927	3325	258
928	3328	254
929	3331	250
930	3333	247
931	3336	243
932	3340	239
933	3343	236
934	3345	232
935	3348	228
936	3352	225
937	3354	221
938	3357	218
939	3360	214
940	3363	210
941	3366	207
942	3369	203
943	3372	200
944	3375	196
945	3377	192
946	3380	189
947	3383	185
948	3386	181
949	3390	178
950	3393	174
951	3395	171
952	3398	167
953	3401	164
954	3404	160
955	3407	156
956	3410	153
957	3413	149
958	3416	146
959	3419	142
960	3422	138
961	3425	135
962	3428	131
963	3431	128
964	3434	124
965	3437	121
966	3441	117
967	3445	113
968	3448	110
969	3451	106
970	3454	103
971	3458	99
972	3461	96
973	3463	92
974	3467	88
975	3470	85
976	3473	81
977	3476	78
978	3483	74
979	3486	71
980	3489	67
981	3492	64
982	3495	60
983	3498	56
984	3501	53
985	3505	49
986	3508	46
987	3511	42
988	3514	39
989	3517	35
990	3520	31
991	3524	28
992	3526	24
993	3529	21
994	3533	17
995	3535	14
996	3538	10
997	3541	7
998	3545	3
999	3548	0
